6,Flue Gas Analyzer/ Oxygen,ACE Instruments & Controls
,Analyzer,"1 Birandari, Above Kashi Dairy MG Road,"
,,Ghatkopar (W) Mumbai – 400 086
,,"Tel. 5125153, 5122762"
7,FRP Blades & Cooling Tower,Eneertech Engineers
,accessories,"SCO 144 – 145, Sector – 34A, Chandigarh"
,,"Tel. 0172-5018077, 9876022225"
8,HVAC related instruments,"Waaree, 36 Damjishamji Industrial Complex, Off Mahakali"
,Thermocouples pipe fittings,"caves Road, Andheri (E) Mumbai tel. 02266963030,"
,pressure gauges,26874778
9,Infrared Temperature Meters,Toshniwal Industries Pvt. Ltd.
,(600 oC to 1800 oC,"Industrial Area Mahukupura, Ajmer – 305 002"
,,"Tel. 91145 2695171, 91145 2695205"
10,Infrared Temperature Meters,"KusamMeco, G-17, Bharat Industrial Area,"
,(upto 1500 oC),"T.J. Road, Sewree Mumbai – 400015"
,,"Tel. 02224156638, 24124540"
11,AC Drives,Rockers Control System
,,"SCO 819 2nd Floor, NAC Manimajra,"
,,Chandigarh – 160101
,,"Tel. 0172-2730900, 5071627"
12,AC Drives,Allen Bradley India Ltd.
,,"C – 11, Industrial Area, Site – IV,"
,,"Sahibabad, Ghaziabad"
13,AC Drives,Asea Brown Boveri Ltd.
,,"Guru Nanak Foundation Building, 15 – 16, Qutab"
,,"Institutional Area, SaheedJeet Singh Sansnwal Marg, New"
,,Delhi 110 067
14,AC Drives,Crompton Greaves Ltd.
,,"Machine 3 Division, A – 6 / 2, MIDC Area, Ahmednagar"
15,"Automation, Panel Meters",Conzerv System
,,"44P, Electronic City Phase –II,"
,,"East Hosur Road, Banglore – 560100"
16,"Automation, Panel Meters",Selec controls Pvt. Ltd.
