25,Insulations,Llyod Insulations (India) Ltd.
,,"PB NO. 4321, Kalkaji Industrial Area,"
,,"Punj Sons Premises, New Delhi"
,,Tel. : 26430746-7
26,Insulations,Hirnal Supply (India) Ltd.
,,"168, Rajagarden, New Delhi – 110015"
,,"Tel: 011-25438602, 25448602"
27,Insulations,Technical & Management Consultancy Center
,,"SCO – 324, 2nd Floor, Cabin – 203,"
,,"Sector – 9, Panchkula"
,,Ry_tmcc@yahoo.com
28,LED Lighting,Synergy Solar (P) Ltd.
,,"SCO 133, Sector 28D, Chandigarh"
,,"Tel. : 0172-6451133, www.synergysolars.com"
29,Lighting system,Philips India Ltd.
,,"Regional Office-North, 9th Floor Ashoka Estate,"
,,"24, Barakhamba Road, New Delhi – 110 001"
,,"Tel. : 3353280, 3317442"
30,Lighting system,Crompton Greaves Ltd.
,,"Lighting Business Group, 405, Concorde, RC Dutt Road,"
,,Baroda – 390 007
31,Lighting system,Osram India Ltd.
,,"Signature Towers, 11th Floor, Tower B, South City-I,"
,,"Gurgaon -122001Tel.: 0124-6526175, 6526178, 6526285"
32,Lighting system,Asian Electronics
,,"Surya Place, First Floor, K-185, Sarai Julena"
,,"New Friends Colony, New Delhi – 110 025"
33,Lighting system,"Philips India Limited,"
,,"Technopolis Knowledge Park, Nelco Complex, Mahakali"
,,"Caves Road, Chakala, Andheri (E) Mumbai – 400 093 Tel"
,,: 022 56912000
34,Lighting system,Surya Roshni Ltd.
,,"Padma Tower_I, Rajendra Palace,"
